No.,Index1_abs,Index2_abs,Index1_subs,Index2_subs,Supercell_1,Supercell_2,SuperLat (Ã…),N_atoms,Mismatch,Angle (deg),symmetry
263,1,0,1,0,1,1,2.467,4,1.82%,0,C3v
104,15,7,15,8,13,13,32.071,676,1.82%,4.41,C3
141,11,6,11,5,9.54,9.54,23.534,364,1.82%,6.01,C3
225,8,4,8,3,6.93,7,17.269,194,0.78%,8.21,C3
181,7,4,7,5,6.08,6.24,15.406,152,-0.82%,9.18,C3
299,7,3,7,4,6.08,6.08,15.006,148,1.82%,9.43,C3
206,6,3,6,4,5.2,5.29,13.054,110,-0.01%,10.89,C3
274,5,3,5,2,4.36,4.36,10.753,76,1.82%,13.17,C3
147,4,2,4,1,3.46,3.61,8.895,50,-2.17%,16.1,C3
255,8,3,8,5,7,7,17.269,196,1.82%,16.43,C3
266,6,1,6,5,5.57,5.57,13.736,124,1.82%,17.9,C3
200,10,6,10,3,8.72,8.89,21.927,310,-0.13%,19.59,C3
418,11,9,11,2,10.15,10.15,25.037,412,1.82%,19.65,C3
287,3,1,3,2,2.65,2.65,6.527,28,1.82%,21.79,C3
109,7,6,8,4,6.56,6.93,17.092,182,-3.63%,22.41,C3
488,15,10,14,1,13.23,13.53,33.373,716,-0.43%,22.78,C3
492,16,8,15,2,13.86,14.11,34.801,782,0.02%,22.95,C3
35,4,4,5,2,4,4.36,10.753,70,-6.56%,23.41,C3
508,14,11,14,3,12.77,12.77,31.497,652,1.82%,23.48,C3
512,11,7,11,3,9.64,9.85,24.297,380,-0.30%,23.65,C3
176,8,3,8,6,7,7.21,17.79,202,-1.16%,24.32,C3
524,9,2,9,7,8.19,8.19,20.193,268,1.82%,24.43,C3
534,13,9,13,4,11.53,11.53,28.451,532,1.82%,25.04,C3
213,6,0,7,4,6,6.08,15.006,146,0.44%,25.29,C3
237,10,3,10,7,8.89,8.89,21.927,316,1.82%,26.01,C3
282,4,3,4,1,3.61,3.61,8.895,52,1.82%,27.8,C3
636,11,3,11,8,9.85,9.85,24.297,388,1.82%,29.41,C3
153,5,0,6,3,5,5.2,12.819,104,-2.02%,30,C3v
223,8,4,7,0,6.93,7,17.269,194,0.78%,30,C3v